This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Victoria for 2023-24. It ranges from cell A1 to Q531.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated resident population and components, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021454,Endeavour Hills - South,13506,13594,88,0.7,91,-237,234,5.6,2433,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021455,Narre Warren - North East,13654,13643,-11,-0.1,141,-328,176,4.9,2799.1,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021456,Narre Warren - South West,15266,15452,186,1.2,121,-312,377,9.3,1660.5,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021553,Berwick - South East,19158,20002,844,4.4,150,417,277,9.9,2023.8,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021554,Berwick - South West,12123,12791,668,5.5,167,332,169,5,2573,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031300,Cranbourne,22032,22544,512,2.3,222,-51,341,13,1730.6,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031303,Cranbourne South,21853,24578,2725,12.5,408,2202,115,81.7,301,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031304,Cranbourne West,23807,24902,1095,4.6,327,428,340,12.9,1930.7,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031306,Lynbrook - Lyndhurst,19028,19435,407,2.1,124,-129,412,7.4,2641.2,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031308,Pearcedale - Tooradin,8140,8253,113,1.4,45,50,18,98.5,83.8,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031457,Narre Warren South - East,13161,13030,-131,-1,31,-313,151,6.2,2094.7,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031458,Narre Warren South - West,17098,17141,43,0.3,170,-492,365,6.8,2529.3,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031555,Clyde North - North,12526,13155,629,5,154,341,134,6.9,1911.1,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031556,Clyde North - South,20677,24609,3932,19,557,3282,93,19.7,1252.1,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031557,Cranbourne East - North,24856,25149,293,1.2,287,-438,444,11,2281,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031558,Cranbourne East - South,14468,15112,644,4.5,207,282,155,5.3,2836.8,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031559,Cranbourne North - East,13577,13678,101,0.7,143,-314,272,5.5,2507.7,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031560,Cranbourne North - West,12191,12329,138,1.1,138,-188,188,4.8,2576.6,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031561,Hampton Park - East,13136,13383,247,1.9,131,-235,351,8.2,1628.3,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031562,Hampton Park - West,13704,13768,64,0.5,133,-411,342,5.1,2687.3,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041309,Clarinda - Oakleigh South,11676,11752,76,0.7,-28,-143,247,6.3,1858.7,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041310,Clayton South,14746,15138,392,2.7,93,-479,778,7.9,1907,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041312,Dandenong North,22910,23300,390,1.7,125,-269,534,9.5,2463.3,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041313,Dingley Village,10673,10754,81,0.8,-2,-19,102,7.2,1484.6,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041316,Noble Park North,7593,7651,58,0.8,47,-124,135,3.8,2036.2,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041317,Springvale,23518,24111,593,2.5,84,-547,1056,11.1,2171.1,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041318,Springvale South,12831,13139,308,2.4,49,-163,422,4.6,2881.4,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041459,Noble Park - East,13365,13699,334,2.5,97,-332,569,3.8,3636.5,,,,,,,,,,,,
2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041460,Noble Park - West,20210,20330,120,0.6,58,-653,715,4.8,4240.2,,,,,,,,,,,,
