This tab has one table with population components for Statistical Areas Level 3 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AI349.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Population components, Statistical Areas Level 3, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,
,,,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Overseas departures,Net overseas migration,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10703,Kiama - Shellharbour,1167,814,353,7232,6076,1156,585,275,310,1192,844,348,5530,5013,517,775,214,561,1079,819,260,6101,4800,1301,677,234,443,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10704,Wollongong,1523,1105,418,9495,10269,-774,2472,1155,1317,1381,1107,274,6972,7942,-970,3368,898,2470,1294,1046,248,7226,7802,-576,3064,989,2075,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10801,Great Lakes,251,561,-310,3174,2781,393,130,62,68,286,543,-257,2398,2058,340,178,50,128,224,501,-277,2453,2033,420,156,53,103,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10802,Kempsey - Nambucca,580,654,-74,4344,3815,529,213,98,115,589,671,-82,3178,2861,317,282,80,202,494,647,-153,3223,2757,466,249,84,165,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10803,Lord Howe Island,7,0,7,29,30,-1,0,0,0,3,4,-1,29,26,3,0,0,0,8,3,5,17,26,-9,0,0,0,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10804,Port Macquarie,841,1066,-225,6887,5291,1596,483,228,255,704,1083,-379,5410,4210,1200,644,178,466,777,1077,-300,5355,4086,1269,561,194,367,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10805,Taree - Gloucester,550,714,-164,4607,4003,604,184,86,98,549,685,-136,3536,3091,445,231,69,162,594,709,-115,3350,2957,393,213,72,141,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,109,Murray,10901,Albury,834,637,197,4601,4285,316,474,223,251,804,640,164,3814,3439,375,631,173,458,865,586,279,3723,3417,306,548,191,357,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,109,Murray,10902,Lower Murray,176,124,52,914,982,-68,63,20,43,152,137,15,767,767,0,90,32,58,165,131,34,825,789,36,101,32,69,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,109,Murray,10903,Upper Murray exc. Albury,442,530,-88,3510,3161,349,224,105,119,399,576,-177,2808,2465,343,299,84,215,436,544,-108,2705,2391,314,263,90,173,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,11001,Armidale,424,326,98,2848,3200,-352,498,232,266,456,392,64,2456,2799,-343,703,184,519,403,342,61,2378,2683,-305,578,198,380,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,11002,Inverell - Tenterfield,448,462,-14,3039,2943,96,178,82,96,438,491,-53,2443,2294,149,234,66,168,427,475,-48,2275,2275,0,206,69,137,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,11003,Moree - Narrabri,381,215,166,1768,2154,-386,75,34,41,393,212,181,1494,1704,-210,100,28,72,373,231,142,1367,1640,-273,86,28,58,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,11004,Tamworth - Gunnedah,1153,797,356,5725,5469,256,603,284,319,1124,761,363,4342,4452,-110,810,220,590,1140,760,380,4362,4375,-13,708,242,466,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,111,Newcastle and Lake Macquarie,11101,Lake Macquarie - East,1399,1171,228,9740,9635,105,718,336,382,1299,1085,214,7619,7446,173,954,263,691,1229,1150,79,7626,7418,208,833,285,548,,,,,,,
