This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in South Australia for 2023-24. It ranges from cell A1 to Q183.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021030,Elizabeth,11264,11461,197,1.7,51,-86,232,9.3,1237.6,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021031,Elizabeth East,14408,14444,36,0.2,48,-130,118,8.2,1765.3,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021032,Munno Para West - Angle Vale,19723,21869,2146,10.9,355,1706,85,44.3,493.5,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021033,One Tree Hill,2507,2523,16,0.6,7,1,8,130.2,19.4,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021034,Smithfield - Elizabeth North,12772,12869,97,0.8,61,-52,88,8,1611.2,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021035,Virginia - Waterloo Corner,6579,7499,920,14,98,799,23,135.6,55.3,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031036,Enfield - Blair Athol,27244,27798,554,2,191,-412,775,15.2,1831.6,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031038,Windsor Gardens,23433,23741,308,1.3,166,-390,532,8.4,2816.3,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031175,Northgate - Northfield,19197,19542,345,1.8,121,-105,329,6.6,2983.1,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031176,Valley View - Gilles Plains,10761,10859,98,0.9,52,-107,153,4.7,2318.8,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041039,Dry Creek - North,0,0,0,0,0,0,0,38.6,0,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041040,Ingle Farm,16031,16156,125,0.8,2,-43,166,7.4,2175.5,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041041,Para Hills,15307,15429,122,0.8,76,-103,149,10.2,1516.7,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041042,Parafield,18,18,0,0,0,0,0,4.6,3.9,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041043,Parafield Gardens,18627,18614,-13,-0.1,99,-358,246,7,2648.9,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041044,Paralowie,18309,18477,168,0.9,135,-165,198,8.3,2220.4,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041046,Salisbury,18871,19012,141,0.7,46,-275,370,10.8,1765.3,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041047,Salisbury East,18897,19082,185,1,54,5,126,14.9,1284.9,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041048,Salisbury North,18915,18997,82,0.4,139,-289,232,31.3,606.9,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041171,Mawson Lakes - Globe Derby Park,14765,14934,169,1.1,90,-426,505,9.6,1553,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041172,Pooraka - Cavan,8269,8371,102,1.2,74,-122,150,7.5,1117.6,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051049,Golden Grove,10503,10444,-59,-0.6,-49,-86,76,26.6,392.4,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051050,Greenwith,9193,9284,91,1,55,-33,69,6,1537.8,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051051,Highbury - Dernancourt,11525,11652,127,1.1,33,-11,105,12,970.9,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051052,Hope Valley - Modbury,18040,18177,137,0.8,-50,-71,258,10.3,1762.6,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051053,Modbury Heights,19699,19783,84,0.4,80,-151,155,9.9,1996.5,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051054,Redwood Park,16725,16848,123,0.7,80,-25,68,14.1,1191.5,,,,,,,,,,,,
4GADE,Greater Adelaide,402,Adelaide - North,40205,Tea Tree Gully,402051055,St Agnes - Ridgehaven,13402,13425,23,0.2,-31,-36,90,12.3,1091.5,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40301,Holdfast Bay,403011056,Brighton (SA),15566,15729,163,1,-69,-5,237,5.9,2658.4,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40301,Holdfast Bay,403011057,Glenelg (SA),21301,21572,271,1.3,-90,-147,508,7.2,2986.5,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021058,Edwardstown,15123,15263,140,0.9,89,-238,289,5.5,2756.3,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021059,Hallett Cove,12764,12821,57,0.4,59,-190,188,9.3,1382.1,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021060,Marino - Seaview Downs,9944,10077,133,1.3,48,-23,108,12.2,825.2,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021061,Mitchell Park,17438,17808,370,2.1,58,-80,392,7.6,2352.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021062,Morphettville,17314,17528,214,1.2,-84,21,277,6.2,2826.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021063,Sheidow Park - Trott Park,10379,10434,55,0.5,40,-67,82,9.4,1111.2,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40302,Marion,403021064,Warradale,17230,17594,364,2.1,40,-123,447,6,2925.3,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40303,Mitcham,403031065,Belair,4902,4904,2,0,-30,4,28,24.8,197.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40303,Mitcham,403031066,Bellevue Heights,8157,8401,244,3,-9,-46,299,8.7,963.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40303,Mitcham,403031067,Blackwood,13503,13688,185,1.4,77,-7,115,16.9,808.6,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40303,Mitcham,403031068,Colonel Light Gardens,16003,16119,116,0.7,-17,-91,224,6.8,2384.1,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40303,Mitcham,403031069,Mitcham (SA),16795,16987,192,1.1,-19,-11,222,11.4,1483.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40303,Mitcham,403031070,Panorama,8853,8987,134,1.5,46,-84,172,5.7,1565,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041071,Aberfoyle Park,11909,11849,-60,-0.5,-35,-91,66,13.8,856,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041072,Aldinga,16433,16777,344,2.1,59,185,100,35.3,474.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041073,Christie Downs,9659,9666,7,0.1,6,-35,36,8.6,1127.5,,,,,,,,,,,,
