This tab has one table with population components for Statistical Areas Level 4 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AG98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Population components, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,121,Sydney - North Sydney and Hornsby,4307,2529,1778,24663,32021,-7358,14618,9790,4828,3597,2408,1189,19504,23575,-4071,23944,9094,14850,3417,2391,1026,19345,25027,-5682,21238,9947,11291,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,122,Sydney - Northern Beaches,3085,1881,1204,12629,17384,-4755,5570,3246,2324,2527,1869,658,9772,12080,-2308,8964,2755,6209,2401,1757,644,9320,12244,-2924,8167,3014,5153,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,123,Sydney - Outer South West,4502,1795,2707,20477,19600,877,2699,1266,1433,4429,1793,2636,16138,15367,771,4688,986,3702,4167,1784,2383,16524,15040,1484,4105,1084,3021,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,4648,2256,2392,21156,22878,-1722,2518,1179,1339,4335,2179,2156,16800,17321,-521,4256,916,3340,4308,2121,2187,17791,17477,314,3727,1009,2718,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,125,Sydney - Parramatta,7205,2714,4491,31673,42730,-11057,16761,8357,8404,6643,2640,4003,23968,33243,-9275,28242,6985,21257,6466,2467,3999,25381,34111,-8730,24820,7645,17175,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,126,Sydney - Ryde,2126,1186,940,16632,18411,-1779,7320,4473,2847,1898,1210,688,12123,14960,-2837,12298,4103,8195,1775,1118,657,13109,15552,-2443,10804,4490,6314,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,127,Sydney - South West,6612,2709,3903,29119,27079,2040,6765,3167,3598,6266,2710,3556,23626,20829,2797,12148,2470,9678,6141,2444,3697,24479,21304,3175,10481,2705,7776,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,128,Sydney - Sutherland,2719,1742,977,11947,13142,-1195,2141,1017,1124,2534,1800,734,9244,9561,-317,3508,801,2707,2399,1668,731,9833,9891,-58,3124,874,2250,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,1887,1591,296,11135,9215,1920,1085,451,634,1774,1602,172,8286,6909,1377,1450,358,1092,1914,1526,388,9119,6773,2346,1327,403,924,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,1828,1542,286,10180,9216,964,995,414,581,1783,1597,186,7350,6748,602,1297,327,970,1811,1481,330,7652,6885,767,1173,371,802,,,,,,,,,,,,
