This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Tasmania for 2023-24. It ranges from cell A1 to Q108.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051033,West Hobart,6469,6417,-52,-0.8,9,-150,89,3.6,1771.2,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60106,Sorell - Dodges Ferry,601061034,Dodges Ferry - Lewisham,8952,9032,80,0.9,31,20,29,318.4,28.4,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60106,Sorell - Dodges Ferry,601061035,Sorell - Richmond,10547,10742,195,1.8,30,115,50,375.9,28.6,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011036,Invermay,3529,3514,-15,-0.4,22,-81,44,4,872.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011037,Kings Meadows - Punchbowl,5049,5033,-16,-0.3,-3,-32,19,5.8,874,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011038,Launceston,5494,5441,-53,-1,16,-176,107,5.3,1030.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011039,Legana,5044,5070,26,0.5,1,6,19,33.7,150.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011040,Mowbray,4144,4142,-2,0,26,-117,89,9.3,446.3,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011041,Newnham - Mayfield,10059,10010,-49,-0.5,26,-224,149,23.6,424.3,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011042,Newstead,5556,5498,-58,-1,-17,-83,42,3.7,1491,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011043,Norwood (Tas.),3988,3931,-57,-1.4,-50,-19,12,4,986.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011044,Prospect Vale - Blackstone,6953,6923,-30,-0.4,-14,-41,25,17.7,390.2,,,,,,,,,,,,
