This tab has one table with the estimated resident population for Statistical Areas Level 4 in Australia as at 30 June 2024. It ranges from cell A1 to AD98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
1,New South Wales,1GSYD,Greater Sydney,123,Sydney - Outer South West,223199,225222,226523,226566,227701,228216,231166,234580,238554,240986,243750,247241,251627,256853,262766,269369,276373,283266,289570,295312,299151,304168,311277,318165
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,286984,287763,287581,285791,285479,285219,287422,291502,294563,295959,297862,300556,304119,307579,311493,315265,319675,324168,328401,332123,334122,336131,341106,346325
1,New South Wales,1GSYD,Greater Sydney,125,Sydney - Parramatta,347519,349524,351914,355640,361507,367682,376804,387247,397698,406628,413886,423079,434184,444838,455337,466477,480424,490947,500401,503218,496953,498791,514776,527220
1,New South Wales,1GSYD,Greater Sydney,126,Sydney - Ryde,157512,157522,157800,158464,159092,160049,162652,165195,167251,169329,171350,174773,178245,181661,185593,189648,193742,198249,203236,205136,203001,205009,211055,215583
1,New South Wales,1GSYD,Greater Sydney,127,Sydney - South West,338974,342365,343762,344480,346770,349239,353804,361073,368030,372468,376718,383069,390551,398918,408853,420535,434813,447375,459961,469650,476403,485944,501975,516623
1,New South Wales,1GSYD,Greater Sydney,128,Sydney - Sutherland,211901,212436,212204,211346,210960,210711,212539,215732,218435,219468,219637,220612,221944,223316,224618,225851,226802,227611,228594,229755,230392,231298,234422,237345
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,133961,134805,135729,136262,137070,138051,139530,141666,144152,146577,148656,150776,153017,155108,157237,159994,162710,165466,168399,170883,173311,176161,178802,182460
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,128054,129246,130693,131718,132581,133945,135719,137368,139241,140967,142693,145050,147563,150101,152591,155536,158044,160532,163120,165406,167266,169097,170855,172754
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,222969,226737,229493,231658,233794,236055,239456,243415,247731,252091,256580,261251,266726,272154,278436,286384,294847,303323,312221,320328,327615,334683,341908,349842
2,Victoria,2RVIC,Rest of Vic.,204,Hume,152109,152998,154097,155019,155624,156105,157011,157809,158875,160178,161335,163367,165487,167594,169800,172575,175062,177653,179891,182122,184208,185875,187626,189637
