This tab has one table with population components for Local Government Areas in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AE557.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Population components, Local Government Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,LGA code,LGA name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,17310,Tamworth,850,571,279,4346,4059,287,533,249,284,868,571,297,3297,3394,-97,711,195,516,824,541,283,3332,3354,-22,622,211,411,,,,,,,,,,,,
1,New South Wales,17350,Temora,79,68,11,375,415,-40,20,9,11,74,61,13,315,314,1,26,7,19,64,81,-17,271,275,-4,23,7,16,,,,,,,,,,,,
1,New South Wales,17400,Tenterfield,78,104,-26,645,555,90,26,12,14,70,96,-26,524,428,96,34,10,24,60,68,-8,518,421,97,30,10,20,,,,,,,,,,,,
1,New South Wales,17420,The Hills,1973,844,1129,18396,14379,4017,3218,1755,1463,1866,923,943,14954,11289,3665,5555,1504,4051,1918,883,1035,15096,11522,3574,4720,1645,3075,,,,,,,,,,,,
1,New South Wales,17550,Tweed,979,1074,-95,7908,7481,427,786,368,418,953,1171,-218,5994,5554,440,1062,287,775,907,1025,-118,5941,5594,347,916,315,601,,,,,,,,,,,,
1,New South Wales,17620,Upper Hunter,179,142,37,1177,1237,-60,106,50,56,168,151,17,811,884,-73,140,39,101,141,108,33,861,894,-33,114,42,72,,,,,,,,,,,,
1,New South Wales,17640,Upper Lachlan,79,82,-3,676,634,42,33,16,17,85,94,-9,529,396,133,43,12,31,65,84,-19,582,421,161,42,14,28,,,,,,,,,,,,
1,New South Wales,17650,Uralla,61,65,-4,547,566,-19,28,13,15,68,61,7,546,515,31,36,11,25,56,62,-6,465,431,34,32,11,21,,,,,,,,,,,,
1,New South Wales,17750,Wagga Wagga,1065,488,577,4939,5373,-434,595,291,304,962,511,451,3977,4624,-647,772,211,561,907,541,366,4013,4567,-554,669,233,436,,,,,,,,,,,,
1,New South Wales,17850,Walcha,29,28,1,213,227,-14,7,3,4,39,55,-16,165,198,-33,10,3,7,19,33,-14,191,160,31,8,3,5,,,,,,,,,,,,
1,New South Wales,17900,Walgett,91,66,25,471,577,-106,17,9,8,91,51,40,362,416,-54,24,7,17,92,71,21,392,448,-56,21,7,14,,,,,,,,,,,,
1,New South Wales,17950,Warren,50,33,17,227,257,-30,13,6,7,38,36,2,188,195,-7,15,5,10,27,29,-2,167,164,3,14,5,9,,,,,,,,,,,,
1,New South Wales,18020,Warrumbungle,89,115,-26,684,689,-5,38,18,20,96,120,-24,493,521,-28,49,14,35,97,108,-11,513,518,-5,43,16,27,,,,,,,,,,,,
1,New South Wales,18050,Waverley,991,358,633,5735,7492,-1757,3319,2235,1084,785,318,467,3924,5503,-1579,5300,2123,3177,801,338,463,3761,5279,-1518,4814,2324,2490,,,,,,,,,,,,
1,New South Wales,18100,Weddin,27,31,-4,260,249,11,27,12,15,33,53,-20,160,161,-1,33,10,23,32,51,-19,170,179,-9,30,10,20,,,,,,,,,,,,
1,New South Wales,18200,Wentworth,111,64,47,555,518,37,25,3,22,85,75,10,467,401,66,31,16,15,104,54,50,485,452,33,50,16,34,,,,,,,,,,,,
1,New South Wales,18250,Willoughby,723,491,232,6372,8307,-1935,3589,2422,1167,561,453,108,4762,6103,-1341,5870,2258,3612,540,416,124,5313,6412,-1099,5182,2460,2722,,,,,,,,,,,,
1,New South Wales,18350,Wingecarribee,505,515,-10,3727,3642,85,449,218,231,478,556,-78,2752,2797,-45,600,165,435,465,534,-69,2998,2826,172,522,180,342,,,,,,,,,,,,
1,New South Wales,18400,Wollondilly,788,307,481,5193,4174,1019,196,91,105,803,317,486,4010,3042,968,420,73,347,822,313,509,4421,2989,1432,318,79,239,,,,,,,,,,,,
1,New South Wales,18450,Wollongong,2556,1872,684,12510,13003,-493,2916,1363,1553,2355,1890,465,8841,9532,-691,3964,1065,2899,2296,1778,518,9402,9581,-179,3604,1166,2438,,,,,,,,,,,,
1,New South Wales,18500,Woollahra,596,352,244,5123,6372,-1249,2019,1399,620,501,390,111,3747,4657,-910,3234,1294,1940,446,346,100,3603,4646,-1043,2867,1415,1452,,,,,,,,,,,,
1,New South Wales,18710,Yass Valley,159,111,48,1352,1315,37,103,49,54,155,139,16,1148,1168,-20,138,38,100,170,128,42,1205,1154,51,120,41,79,,,,,,,,,,,,
1,New South Wales,19399,Unincorporated NSW,15,4,11,160,192,-32,3,2,1,15,7,8,93,93,0,6,1,5,16,5,11,43,86,-43,4,1,3,,,,,,,,,,,,
2,Victoria,20110,Alpine,106,117,-11,991,1011,-20,94,38,56,114,132,-18,588,669,-81,121,32,89,101,111,-10,698,746,-48,111,35,76,,,,,,,,,,,,
2,Victoria,20260,Ararat,112,119,-7,803,930,-127,111,46,65,112,139,-27,602,759,-157,145,36,109,100,130,-30,629,687,-58,132,41,91,,,,,,,,,,,,
2,Victoria,20570,Ballarat,1384,1022,362,8091,6457,1634,873,362,511,1287,1040,247,5901,4926,975,1179,286,893,1386,962,424,6769,5019,1750,1074,324,750,,,,,,,,,,,,
2,Victoria,20660,Banyule,1459,975,484,10194,11640,-1446,1881,862,1019,1405,1041,364,7860,8468,-608,3127,703,2424,1402,896,506,8415,8613,-198,2820,804,2016,,,,,,,,,,,,
2,Victoria,20740,Bass Coast,381,429,-48,3713,2643,1070,200,84,116,328,437,-109,2784,1954,830,261,66,195,380,435,-55,2811,2091,720,239,76,163,,,,,,,,,,,,
2,Victoria,20830,Baw Baw,757,461,296,5088,3863,1225,237,99,138,682,488,194,3885,2945,940,304,79,225,781,504,277,3873,3071,802,278,88,190,,,,,,,,,,,,
2,Victoria,20910,Bayside (Vic.),812,846,-34,7894,8823,-929,2128,1252,876,744,839,-95,5588,5853,-265,3507,1081,2426,751,829,-78,6205,6270,-65,3190,1236,1954,,,,,,,,,,,,
2,Victoria,21010,Benalla,140,200,-60,1155,1088,67,36,16,20,107,206,-99,919,789,130,46,11,35,136,183,-47,968,845,123,43,13,30,,,,,,,,,,,,
2,Victoria,21110,Boroondara,1206,1155,51,13987,16163,-2176,5195,3227,1968,1093,1205,-112,10748,11519,-771,8651,2767,5884,1166,1159,7,10534,11795,-1261,7787,3158,4629,,,,,,,,,,,,
2,Victoria,21180,Brimbank,2196,1339,857,11991,18391,-6400,3919,1615,2304,2130,1323,807,9011,12302,-3291,6432,1281,5151,2241,1247,994,9943,13255,-3312,5879,1468,4411,,,,,,,,,,,,
2,Victoria,21270,Buloke,58,80,-22,425,430,-5,26,11,15,65,107,-42,263,327,-64,34,9,25,52,95,-43,269,330,-61,31,10,21,,,,,,,,,,,,
2,Victoria,21370,Campaspe,383,403,-20,2776,2846,-70,153,63,90,397,474,-77,1944,2272,-328,195,50,145,383,432,-49,2020,2236,-216,179,57,122,,,,,,,,,,,,
2,Victoria,21450,Cardinia,1914,562,1352,11441,9723,1718,919,381,538,1863,606,1257,8985,7619,1366,1428,300,1128,1920,618,1302,9017,7903,1114,1379,344,1035,,,,,,,,,,,,
2,Victoria,21610,Casey,5703,1645,4058,27212,24938,2274,5489,2275,3214,5511,1661,3850,20519,18730,1789,9114,1797,7317,5634,1684,3950,22747,19518,3229,8226,2050,6176,,,,,,,,,,,,
2,Victoria,21670,Central Goldfields,94,173,-79,1033,845,188,41,18,23,106,213,-107,808,688,120,53,12,41,126,201,-75,845,673,172,49,16,33,,,,,,,,,,,,
2,Victoria,21750,Colac Otway,223,214,9,1233,1437,-204,145,61,84,247,229,18,1003,1083,-80,183,47,136,226,217,9,994,1091,-97,170,54,116,,,,,,,,,,,,
2,Victoria,21830,Corangamite,161,181,-20,1146,1193,-47,61,25,36,157,152,5,785,901,-116,79,20,59,173,151,22,795,968,-173,73,23,50,,,,,,,,,,,,
2,Victoria,21890,Darebin,1738,1123,615,14061,16597,-2536,4033,1803,2230,1591,1077,514,10502,11203,-701,6788,1493,5295,1675,1111,564,10886,11537,-651,6048,1711,4337,,,,,,,,,,,,
2,Victoria,22110,East Gippsland,424,579,-155,3325,2808,517,173,73,100,420,558,-138,2329,2122,207,226,58,168,412,599,-187,2434,2141,293,206,66,140,,,,,,,,,,,,
2,Victoria,22170,Frankston,1865,1086,779,11204,12335,-1131,1172,483,689,1767,1131,636,8716,9229,-513,1907,383,1524,1796,1098,698,9444,9651,-207,1754,438,1316,,,,,,,,,,,,
2,Victoria,22250,Gannawarra,92,145,-53,745,775,-30,3,1,2,103,160,-57,534,595,-61,4,1,3,102,124,-22,553,549,4,4,1,3,,,,,,,,,,,,
2,Victoria,22310,Glen Eira,1653,1020,633,12813,14404,-1591,4522,2378,2144,1390,1003,387,9157,9928,-771,7484,2027,5457,1492,973,519,9592,10410,-818,6773,2314,4459,,,,,,,,,,,,
2,Victoria,22410,Glenelg,182,216,-34,1279,1291,-12,64,27,37,177,214,-37,889,941,-52,82,21,61,159,228,-69,968,965,3,75,23,52,,,,,,,,,,,,
2,Victoria,22490,Golden Plains,314,136,178,2191,1977,214,64,27,37,270,139,131,1781,1481,300,82,22,60,280,113,167,1870,1565,305,76,23,53,,,,,,,,,,,,
2,Victoria,22620,Greater Bendigo,1445,1109,336,7122,6457,665,739,308,431,1434,1100,334,5210,4811,399,967,245,722,1460,1033,427,5376,4753,623,871,275,596,,,,,,,,,,,,
2,Victoria,22670,Greater Dandenong,1959,1152,807,10285,14781,-4496,4913,2030,2883,1888,1078,810,7774,10607,-2833,8156,1603,6553,1981,1132,849,8702,11603,-2901,7357,1831,5526,,,,,,,,,,,,
2,Victoria,22750,Greater Geelong,3281,2225,1056,16803,13750,3053,2665,1105,1560,3459,2361,1098,12677,10248,2429,3527,868,2659,3406,2393,1013,13827,10390,3437,3320,992,2328,,,,,,,,,,,,
2,Victoria,22830,Greater Shepparton,862,598,264,4027,4297,-270,761,317,444,803,602,201,2747,3523,-776,993,249,744,928,573,355,3220,3487,-267,935,282,653,,,,,,,,,,,,
2,Victoria,22910,Hepburn,122,200,-78,1460,1346,114,90,38,52,121,161,-40,1016,966,50,117,30,87,127,156,-29,1079,970,109,107,33,74,,,,,,,,,,,,
2,Victoria,22980,Hindmarsh,49,77,-28,381,423,-42,26,11,15,50,83,-33,267,301,-34,33,8,25,53,95,-42,234,308,-74,30,9,21,,,,,,,,,,,,
2,Victoria,23110,Hobsons Bay,1155,637,518,7472,9222,-1750,1493,664,829,1052,645,407,5507,5926,-419,2424,536,1888,1144,657,487,6104,6323,-219,2238,613,1625,,,,,,,,,,,,
2,Victoria,23190,Horsham,277,193,84,1151,1318,-167,95,40,55,209,196,13,937,1077,-140,124,33,91,259,193,66,968,1047,-79,113,36,77,,,,,,,,,,,,
2,Victoria,23270,Hume,3985,1169,2816,16689,15718,971,4216,1741,2475,3798,1151,2647,12922,11720,1202,7089,1379,5710,4232,1040,3192,13354,12326,1028,6320,1572,4748,,,,,,,,,,,,
2,Victoria,23350,Indigo,154,148,6,1547,1411,136,56,24,32,202,180,22,1178,1018,160,71,18,53,152,159,-7,1238,1148,90,66,21,45,,,,,,,,,,,,
2,Victoria,23430,Kingston (Vic.),1751,1197,554,12261,13866,-1605,2822,1218,1604,1540,1242,298,9324,9754,-430,4682,921,3761,1657,1192,465,9804,10662,-858,4232,1054,3178,,,,,,,,,,,,
2,Victoria,23670,Knox,1609,1168,441,11401,13887,-2486,1895,782,1113,1579,1160,419,8804,9508,-704,3120,619,2501,1463,1171,292,9366,10254,-888,2839,706,2133,,,,,,,,,,,,
2,Victoria,23810,Latrobe (Vic.),898,821,77,4661,4388,273,407,169,238,900,847,53,3497,3517,-20,543,134,409,919,862,57,3804,3505,299,493,151,342,,,,,,,,,,,,
2,Victoria,23940,Loddon,72,89,-17,646,599,47,30,13,17,59,93,-34,445,444,1,40,10,30,60,82,-22,463,459,4,37,11,26,,,,,,,,,,,,
2,Victoria,24130,Macedon Ranges,554,358,196,4181,3940,241,285,119,166,548,373,175,2945,2729,216,416,94,322,480,327,153,3161,2776,385,390,105,285,,,,,,,,,,,,
2,Victoria,24210,Manningham,1011,1075,-64,9155,9987,-832,2881,1236,1645,901,1101,-200,6700,7290,-590,4750,987,3763,980,1020,-40,6970,7907,-937,4322,1127,3195,,,,,,,,,,,,
2,Victoria,24250,Mansfield,68,73,-5,940,774,166,97,41,56,81,81,0,654,539,115,126,33,93,77,89,-12,773,604,169,115,36,79,,,,,,,,,,,,
2,Victoria,24330,Maribyrnong,1172,495,677,9919,10849,-930,2573,1100,1473,1021,460,561,7380,8158,-778,5282,894,4388,1098,463,635,7533,8527,-994,3858,1024,2834,,,,,,,,,,,,
2,Victoria,24410,Maroondah,1386,908,478,9406,11066,-1660,1475,609,866,1252,892,360,7387,8011,-624,2418,481,1937,1258,850,408,7993,8138,-145,2210,551,1659,,,,,,,,,,,,
2,Victoria,24600,Melbourne,1229,470,759,21591,21630,-39,17272,10774,6498,978,497,481,15484,17908,-2424,29086,9686,19400,1005,513,492,13466,17185,-3719,25880,11057,14823,,,,,,,,,,,,
2,Victoria,24650,Melton,3102,650,2452,19309,11038,8271,2070,854,1216,3254,681,2573,16381,8723,7658,3186,681,2505,3682,649,3033,18408,10098,8310,3107,774,2333,,,,,,,,,,,,
2,Victoria,24700,Merri-bek,2292,1327,965,17365,19553,-2188,4898,2289,2609,2152,1232,920,12578,13279,-701,8194,2034,6160,2148,1126,1022,12876,13652,-776,7351,2328,5023,,,,,,,,,,,,
2,Victoria,24780,Mildura,704,591,113,3132,3305,-173,589,245,344,686,549,137,2236,2698,-462,819,191,628,716,532,184,2173,2758,-585,693,219,474,,,,,,,,,,,,
2,Victoria,24850,Mitchell,695,277,418,5444,4096,1348,349,145,204,744,318,426,4504,3288,1216,503,115,388,784,336,448,5423,3517,1906,447,129,318,,,,,,,,,,,,
2,Victoria,24900,Moira,304,354,-50,2433,2247,186,141,60,81,310,370,-60,1913,1802,111,182,46,136,308,370,-62,1776,1762,14,166,53,113,,,,,,,,,,,,
2,Victoria,24970,Monash,1642,1562,80,15684,17896,-2212,8838,4518,4320,1551,1528,23,11081,13561,-2480,14689,3626,11063,1553,1508,45,11341,14885,-3544,13220,4140,9080,,,,,,,,,,,,
2,Victoria,25060,Moonee Valley,1308,939,369,10252,11778,-1526,2417,1091,1326,1181,906,275,7886,7927,-41,4024,878,3146,1255,891,364,8331,8079,252,3620,1003,2617,,,,,,,,,,,,
2,Victoria,25150,Moorabool,498,267,231,3222,2927,295,153,63,90,469,255,214,2307,2132,175,221,52,169,517,271,246,2687,2362,325,217,58,159,,,,,,,,,,,,
2,Victoria,25340,Mornington Peninsula,1450,1747,-297,11431,12496,-1065,1148,493,655,1359,1663,-304,8718,9248,-530,1739,393,1346,1324,1696,-372,9786,9476,310,1718,451,1267,,,,,,,,,,,,
2,Victoria,25430,Mount Alexander,154,174,-20,1548,1382,166,110,46,64,151,206,-55,1156,955,201,142,37,105,147,212,-65,1260,1059,201,130,42,88,,,,,,,,,,,,
2,Victoria,25490,Moyne,193,127,66,1443,1381,62,92,38,54,202,155,47,976,981,-5,119,31,88,194,120,74,980,1020,-40,110,35,75,,,,,,,,,,,,
2,Victoria,25620,Murrindindi,132,126,6,1357,1184,173,60,25,35,138,153,-15,937,849,88,76,20,56,106,140,-34,1065,959,106,71,22,49,,,,,,,,,,,,
2,Victoria,25710,Nillumbik,593,324,269,4170,5071,-901,427,179,248,541,355,186,3178,3682,-504,652,141,511,570,303,267,3400,3714,-314,641,160,481,,,,,,,,,,,,
2,Victoria,25810,Northern Grampians,113,146,-33,825,839,-14,70,30,40,123,127,-4,585,649,-64,90,23,67,121,141,-20,597,703,-106,83,27,56,,,,,,,,,,,,
2,Victoria,25900,Port Phillip,1093,545,548,12629,14251,-1622,4238,2506,1732,971,511,460,9457,10175,-718,7827,2080,5747,941,504,437,9315,10648,-1333,6354,2374,3980,,,,,,,,,,,,
2,Victoria,25990,Pyrenees,55,74,-19,716,677,39,24,10,14,61,75,-14,586,459,127,28,9,19,68,86,-18,609,436,173,27,9,18,,,,,,,,,,,,
2,Victoria,26080,Queenscliffe,18,23,-5,309,330,-21,19,8,11,12,44,-32,174,144,30,26,7,19,15,28,-13,211,151,60,24,7,17,,,,,,,,,,,,
2,Victoria,26170,South Gippsland,274,316,-42,2308,2026,282,139,59,80,291,323,-32,1553,1540,13,179,46,133,261,278,-17,1533,1428,105,165,53,112,,,,,,,,,,,,
2,Victoria,26260,Southern Grampians,167,191,-24,1014,1131,-117,87,37,50,173,204,-31,753,738,15,112,29,83,164,166,-2,784,796,-12,103,32,71,,,,,,,,,,,,
2,Victoria,26350,Stonnington,945,719,226,11873,13445,-1572,4318,2638,1680,880,678,202,9077,9790,-713,7693,2290,5403,860,664,196,8835,10261,-1426,6468,2616,3852,,,,,,,,,,,,
2,Victoria,26430,Strathbogie,107,136,-29,991,852,139,63,26,37,78,144,-66,726,656,70,80,20,60,90,152,-62,797,625,172,73,23,50,,,,,,,,,,,,
2,Victoria,26490,Surf Coast,441,223,218,3453,2823,630,299,123,176,395,262,133,2285,2114,171,411,97,314,400,248,152,2287,2058,229,368,111,257,,,,,,,,,,,,
2,Victoria,26610,Swan Hill,292,216,76,1200,1573,-373,265,110,155,277,201,76,839,1195,-356,337,86,251,303,236,67,886,1284,-398,313,98,215,,,,,,,,,,,,
2,Victoria,26670,Towong,50,64,-14,528,520,8,32,14,18,57,61,-4,399,377,22,37,10,27,62,67,-5,393,425,-32,43,12,31,,,,,,,,,,,,
2,Victoria,26700,Wangaratta,315,300,15,1874,1801,73,130,54,76,299,332,-33,1320,1326,-6,167,43,124,265,309,-44,1535,1426,109,153,49,104,,,,,,,,,,,,
2,Victoria,26730,Warrnambool,357,356,1,2293,2368,-75,373,156,217,378,357,21,1660,1709,-49,479,121,358,396,331,65,1663,1781,-118,435,138,297,,,,,,,,,,,,
2,Victoria,26810,Wellington,466,457,9,3676,3498,178,277,115,162,489,480,9,2521,2494,27,359,93,266,489,421,68,2823,2704,119,329,103,226,,,,,,,,,,,,
2,Victoria,26890,West Wimmera,43,47,-4,286,323,-37,11,5,6,43,43,0,239,262,-23,16,4,12,38,52,-14,249,265,-16,15,4,11,,,,,,,,,,,,
2,Victoria,26980,Whitehorse,1424,1305,119,13938,15561,-1623,5797,2763,3034,1351,1212,139,10358,11792,-1434,9700,2298,7402,1360,1217,143,10882,12368,-1486,8719,2628,6091,,,,,,,,,,,,
2,Victoria,27070,Whittlesea,3352,1234,2118,16154,15229,925,3856,1587,2269,3331,1251,2080,12406,11350,1056,5992,1258,4734,3314,1244,2070,13409,11631,1778,5780,1437,4343,,,,,,,,,,,,
2,Victoria,27170,Wodonga,564,310,254,3925,3855,70,316,131,185,533,327,206,3381,3339,42,409,104,305,546,310,236,3381,3317,64,373,118,255,,,,,,,,,,,,
2,Victoria,27260,Wyndham,5232,1021,4211,24149,19275,4874,6880,2889,3991,5280,1006,4274,18452,16178,2274,10479,2364,8115,5407,1005,4402,18600,17408,1192,10055,2701,7354,,,,,,,,,,,,
2,Victoria,27350,Yarra,965,441,524,12453,13669,-1216,3563,2000,1563,851,375,476,9362,9315,47,6382,1792,4590,879,399,480,9107,9683,-576,5345,2048,3297,,,,,,,,,,,,
2,Victoria,27450,Yarra Ranges,1934,1052,882,10348,11717,-1369,909,376,533,1822,1019,803,7627,8307,-680,1378,296,1082,1818,961,857,8434,8850,-416,1365,341,1024,,,,,,,,,,,,
2,Victoria,27630,Yarriambiack,72,92,-20,461,521,-60,13,6,7,66,108,-42,364,384,-20,18,5,13,56,106,-50,374,378,-4,17,5,12,,,,,,,,,,,,
2,Victoria,29399,Unincorporated Vic,3,0,3,81,73,8,7,3,4,3,0,3,71,89,-18,9,2,7,0,3,-3,34,26,8,8,2,6,,,,,,,,,,,,
3,Queensland,30250,Aurukun,9,6,3,95,105,-10,2,1,1,34,8,26,59,57,2,2,1,1,26,12,14,71,76,-5,2,1,1,,,,,,,,,,,,
3,Queensland,30300,Balonne,67,41,26,341,400,-59,15,8,7,66,37,29,291,344,-53,24,8,16,54,32,22,334,352,-18,17,9,8,,,,,,,,,,,,
3,Queensland,30370,Banana,201,99,102,1117,1142,-25,90,46,44,181,107,74,898,926,-28,140,47,93,182,113,69,965,981,-16,137,54,83,,,,,,,,,,,,
3,Queensland,30410,Barcaldine,34,29,5,250,260,-10,10,4,6,44,23,21,216,216,0,13,5,8,39,26,13,242,238,4,12,5,7,,,,,,,,,,,,
3,Queensland,30450,Barcoo,6,0,6,26,29,-3,1,1,0,3,0,3,12,14,-2,2,1,1,0,6,-6,32,27,5,2,1,1,,,,,,,,,,,,
3,Queensland,30760,Blackall Tambo,31,21,10,185,181,4,5,3,2,20,25,-5,126,108,18,9,3,6,30,27,3,146,138,8,8,3,5,,,,,,,,,,,,
3,Queensland,30900,Boulia,10,3,7,24,28,-4,2,1,1,6,0,6,16,20,-4,3,1,2,5,5,0,30,30,0,2,1,1,,,,,,,,,,,,
3,Queensland,31000,Brisbane,14204,7101,7103,83525,82050,1475,28874,16988,11886,13115,7272,5843,58697,60396,-1699,55094,19189,35905,12480,7298,5182,61726,66176,-4450,53167,21740,31427,,,,,,,,,,,,
3,Queensland,31750,Bulloo,6,3,3,23,25,-2,1,1,0,7,3,4,15,17,-2,2,1,1,7,0,7,23,29,-6,1,1,0,,,,,,,,,,,,
3,Queensland,31820,Bundaberg,992,1021,-29,8090,6470,1620,796,412,384,888,1138,-250,6542,5092,1450,1317,419,898,928,1103,-175,6505,5143,1362,1269,478,791,,,,,,,,,,,,
3,Queensland,31900,Burdekin,189,161,28,1061,1127,-66,147,77,70,180,178,2,932,953,-21,248,78,170,172,163,9,954,901,53,211,88,123,,,,,,,,,,,,
3,Queensland,31950,Burke,0,0,0,16,14,2,1,1,0,0,4,-4,24,14,10,1,1,0,4,3,1,21,16,5,1,1,0,,,,,,,,,,,,
3,Queensland,32080,Cairns,2001,1117,884,12807,11999,808,2146,1103,1043,1930,1117,813,9679,9323,356,3373,1130,2243,1866,1200,666,9909,10162,-253,3578,1284,2294,,,,,,,,,,,,
3,Queensland,32250,Carpentaria,37,17,20,183,197,-14,9,3,6,32,16,16,149,129,20,9,4,5,27,16,11,152,150,2,9,4,5,,,,,,,,,,,,
3,Queensland,32260,Cassowary Coast,344,306,38,2167,2266,-99,318,163,155,329,305,24,1840,1828,12,499,168,331,277,332,-55,2000,1846,154,508,189,319,,,,,,,,,,,,
3,Queensland,32270,Central Highlands (Qld),413,109,304,2771,2940,-169,198,101,97,404,134,270,2098,2125,-27,299,103,196,407,110,297,2459,2548,-89,278,119,159,,,,,,,,,,,,
3,Queensland,32310,Charters Towers,122,118,4,1051,1012,39,33,17,16,130,111,19,862,897,-35,66,18,48,122,124,-2,832,839,-7,59,21,38,,,,,,,,,,,,
3,Queensland,32330,Cherbourg,19,19,0,101,85,16,2,1,1,51,22,29,112,107,5,2,1,1,40,19,21,91,95,-4,2,1,1,,,,,,,,,,,,
3,Queensland,32450,Cloncurry,46,22,24,493,440,53,12,5,7,45,16,29,282,261,21,18,6,12,59,27,32,341,354,-13,19,6,13,,,,,,,,,,,,
3,Queensland,32500,Cook,53,26,27,382,387,-5,40,20,20,57,36,21,341,317,24,63,20,43,42,23,19,304,312,-8,76,24,52,,,,,,,,,,,,
3,Queensland,32600,Croydon,4,0,4,15,21,-6,1,0,1,0,0,0,17,16,1,1,0,1,6,0,6,17,24,-7,1,0,1,,,,,,,,,,,,
3,Queensland,32750,Diamantina,4,3,1,29,30,-1,1,1,0,5,0,5,19,23,-4,2,1,1,4,0,4,25,30,-5,1,1,0,,,,,,,,,,,,
3,Queensland,32770,Doomadgee,33,8,25,102,121,-19,4,2,2,54,10,44,106,134,-28,4,2,2,27,4,23,85,97,-12,4,2,2,,,,,,,,,,,,
3,Queensland,32810,Douglas,115,102,13,1187,1073,114,191,97,94,127,121,6,770,805,-35,296,100,196,101,95,6,912,882,30,320,114,206,,,,,,,,,,,,
3,Queensland,33100,Etheridge,12,4,8,70,82,-12,1,1,0,11,5,6,58,58,0,1,1,0,9,7,2,52,55,-3,3,1,2,,,,,,,,,,,,
3,Queensland,33200,Flinders (Qld),27,14,13,140,145,-5,8,3,5,34,8,26,69,93,-24,11,4,7,29,16,13,112,122,-10,10,4,6,,,,,,,,,,,,
3,Queensland,33220,Fraser Coast,1024,1216,-192,10688,7752,2936,524,269,255,922,1378,-456,9019,6344,2675,923,276,647,925,1363,-438,8832,6217,2615,887,314,573,,,,,,,,,,,,
3,Queensland,33360,Gladstone,816,339,477,5475,5166,309,492,251,241,754,407,347,4834,4163,671,768,259,509,774,413,361,4653,4215,438,731,294,437,,,,,,,,,,,,
3,Queensland,33430,Gold Coast,7365,4165,3200,43047,37585,5462,10114,5196,4918,6790,4498,2292,31170,28973,2197,19761,5320,14441,6647,4266,2381,31858,30733,1125,17791,6016,11775,,,,,,,,,,,,
3,Queensland,33610,Goondiwindi,146,81,65,909,988,-79,46,24,22,147,97,50,645,702,-57,73,24,49,162,100,62,703,761,-58,69,28,41,,,,,,,,,,,,
3,Queensland,33620,Gympie,572,506,66,5210,4113,1097,189,95,94,508,528,-20,4108,3258,850,325,101,224,551,534,17,4466,3379,1087,296,113,183,,,,,,,,,,,,
3,Queensland,33800,Hinchinbrook,98,126,-28,781,668,113,24,12,12,98,160,-62,621,562,59,45,13,32,91,159,-68,648,556,92,35,13,22,,,,,,,,,,,,
3,Queensland,33830,Hope Vale,11,8,3,51,51,0,7,4,3,31,3,28,46,55,-9,7,5,2,42,3,39,45,58,-13,7,5,2,,,,,,,,,,,,
3,Queensland,33960,Ipswich,3749,1268,2481,23821,17818,6003,1727,885,842,3698,1363,2335,19469,16103,3366,3673,909,2764,3687,1326,2361,21146,16838,4308,3141,1029,2112,,,,,,,,,,,,
3,Queensland,33980,Isaac,335,63,272,2322,2335,-13,138,72,66,268,47,221,1820,1933,-113,242,73,169,298,63,235,1913,2088,-175,200,84,116,,,,,,,,,,,,
3,Queensland,34420,Kowanyama,43,2,41,51,64,-13,4,3,1,19,1,18,44,53,-9,4,3,1,15,1,14,45,53,-8,2,3,-1,,,,,,,,,,,,
3,Queensland,34530,Livingstone,442,290,152,3753,2964,789,171,88,83,392,329,63,3122,2356,766,262,91,171,382,323,59,3236,2475,761,229,101,128,,,,,,,,,,,,
3,Queensland,34570,Lockhart River,10,0,10,38,47,-9,5,3,2,26,4,22,42,50,-8,5,3,2,18,3,15,50,51,-1,5,3,2,,,,,,,,,,,,
3,Queensland,34580,Lockyer Valley,473,279,194,3958,3505,453,473,242,231,492,324,168,3447,3009,438,861,248,613,536,322,214,3586,3100,486,789,282,507,,,,,,,,,,,,
