This tab has one table with population components for Local Government Areas in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AE557.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Population components, Local Government Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,LGA code,LGA name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,11720,Cessnock,931,559,372,6357,5073,1284,187,88,99,898,543,355,5358,4191,1167,251,69,182,940,487,453,5481,4305,1176,219,75,144,,,,,,,,,,,,
1,New South Wales,11730,Clarence Valley,546,605,-59,3969,3575,394,211,99,112,560,646,-86,3116,2572,544,283,79,204,497,649,-152,3170,2462,708,246,86,160,,,,,,,,,,,,
1,New South Wales,11750,Cobar,67,36,31,356,449,-93,20,10,10,74,31,43,299,331,-32,28,8,20,60,34,26,250,354,-104,24,8,16,,,,,,,,,,,,
1,New South Wales,11800,Coffs Harbour,881,758,123,5860,5466,394,809,382,427,827,754,73,4267,4372,-105,1086,299,787,816,764,52,4136,4038,98,942,324,618,,,,,,,,,,,,
1,New South Wales,12000,Coolamon,64,52,12,353,309,44,11,5,6,51,46,5,273,205,68,16,5,11,56,47,9,313,267,46,14,5,9,,,,,,,,,,,,
1,New South Wales,12150,Coonamble,68,42,26,304,344,-40,13,7,6,81,59,22,270,264,6,12,5,7,91,54,37,233,265,-32,11,5,6,,,,,,,,,,,,
1,New South Wales,12160,Cootamundra-Gundagai,130,125,5,791,819,-28,68,32,36,119,140,-21,530,555,-25,91,25,66,114,140,-26,579,603,-24,79,28,51,,,,,,,,,,,,
1,New South Wales,12350,Cowra,135,185,-50,971,996,-25,36,17,19,145,215,-70,719,727,-8,48,14,34,140,164,-24,731,713,18,43,16,27,,,,,,,,,,,,
1,New South Wales,12380,Cumberland,3679,1262,2417,14985,20992,-6007,7494,3506,3988,3474,1247,2227,11410,15696,-4286,12552,2738,9814,3367,1154,2213,12742,15917,-3175,11125,3000,8125,,,,,,,,,,,,
1,New South Wales,12390,Dubbo,854,488,366,3590,3812,-222,419,198,221,838,479,359,2967,3059,-92,544,156,388,817,515,302,2903,3066,-163,477,167,310,,,,,,,,,,,,
