This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Western Australia for 2023-24. It ranges from cell A1 to Q274.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated resident population and components, Statistical Areas Level 2, Western Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011031,Claremont (WA),10129,10564,435,4.3,-64,128,371,3.9,2728.5,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011032,Cottesloe,8478,8723,245,2.9,-14,-17,276,3.8,2325.5,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011033,Floreat,9181,9388,207,2.3,4,34,169,4.4,2124.2,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011034,Mosman Park - Peppermint Grove,11791,12063,272,2.3,5,-88,355,5.4,2227.7,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011035,Nedlands - Dalkeith - Crawley,20931,21741,810,3.9,-13,-162,985,9.7,2229.9,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011036,Swanbourne - Mount Claremont,10176,10500,324,3.2,21,118,185,11.7,897.4,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021037,Kings Park (WA),50,50,0,0,0,0,0,4.2,12,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021038,Mount Hawthorn - Leederville,12811,13168,357,2.8,72,21,264,3.9,3377.9,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021039,Mount Lawley - Inglewood,18143,18675,532,2.9,7,13,512,7.1,2637.3,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021040,North Perth,10511,10780,269,2.6,38,10,221,3.1,3488.2,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021042,Subiaco - Shenton Park,19370,19944,574,3,7,-64,631,7.8,2558.2,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021043,Wembley - West Leederville - Glendalough,20775,21430,655,3.2,-2,-267,924,6.6,3266.5,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021295,East Perth,13571,14213,642,4.7,32,-526,1136,3.4,4163.8,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021296,Perth (North) - Highgate,12916,13406,490,3.8,18,-302,774,3,4523.1,,,,,,,,,,,,
5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021297,Perth (West) - Northbridge,14429,15268,839,5.8,21,-329,1147,4.6,3353.3,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50401,Bayswater - Bassendean,504011044,Bassendean - Eden Hill - Ashfield,16923,17145,222,1.3,47,-59,234,10.3,1657.3,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50401,Bayswater - Bassendean,504011045,Bayswater - Embleton - Bedford,26284,26740,456,1.7,64,-113,505,13.8,1936.1,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50401,Bayswater - Bassendean,504011046,Maylands,14476,14971,495,3.4,123,-246,618,5,2984.3,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50401,Bayswater - Bassendean,504011047,Morley,24458,24981,523,2.1,97,-222,648,10.6,2366.8,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50401,Bayswater - Bassendean,504011048,Noranda,8379,8526,147,1.8,11,14,122,4.9,1725.4,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50402,Mundaring,504021049,Chidlow,4953,5156,203,4.1,3,173,27,167.7,30.7,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50402,Mundaring,504021050,Glen Forrest - Darlington,7573,7697,124,1.6,27,2,95,56.7,135.8,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50402,Mundaring,504021051,Helena Valley - Koongamia,6248,6471,223,3.6,47,121,55,8.8,732.3,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50402,Mundaring,504021052,Malmalling - Reservoir,11,11,0,0,0,0,0,318.4,0,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50402,Mundaring,504021053,Mundaring,14069,14224,155,1.1,36,22,97,118.7,119.9,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50402,Mundaring,504021054,Swan View - Greenmount - Midvale,13970,14302,332,2.4,58,140,134,15.1,944.6,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031055,Avon Valley National Park,7,7,0,0,0,0,0,75,0.1,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031056,Ballajura,19475,19667,192,1,111,-207,288,23.8,825.8,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031057,Beechboro,24321,25521,1200,4.9,327,394,479,47.1,541.7,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031058,Bullsbrook,6315,6653,338,5.4,55,193,90,253.9,26.2,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031060,Gidgegannup,3021,3132,111,3.7,12,81,18,304.9,10.3,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031061,Hazelmere - Guildford,6440,6946,506,7.9,102,294,110,16.9,410.5,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031062,Lockridge - Kiara,13958,14418,460,3.3,135,136,189,14.6,986.7,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031063,Malaga,23,23,0,0,0,0,0,6.4,3.6,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031064,Melaleuca - Lexia,0,0,0,0,0,0,0,99.7,0,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031065,Middle Swan - Herne Hill,6171,6389,218,3.5,11,102,105,32.2,198.7,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031066,Midland - Guildford,11804,12081,277,2.3,-40,7,310,11.7,1031.4,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031067,Stratton - Jane Brook,7487,7634,147,2,69,-13,91,23.5,324.9,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031068,The Vines,14130,15135,1005,7.1,136,584,285,67,225.9,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031069,Walyunga National Park,0,0,0,0,0,0,0,17.9,0,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031298,Aveley,18002,18887,885,4.9,262,311,312,6.7,2799.4,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031299,Brabham - Henley Brook,14347,15852,1505,10.5,278,836,391,17.1,929,,,,,,,,,,,,
5GPER,Greater Perth,504,Perth - North East,50403,Swan,504031300,Ellenbrook,20731,21254,523,2.5,135,113,275,14,1520.6,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011070,Craigie - Beldon,11285,11585,300,2.7,140,-6,166,7.1,1624.4,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011071,Currambine - Kinross,14584,14774,190,1.3,78,-200,312,6,2479,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011072,Duncraig,16920,17263,343,2,22,22,299,7.6,2256.9,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011073,Greenwood - Warwick,14449,14800,351,2.4,108,33,210,8.6,1728.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011074,Heathridge - Connolly,11358,11695,337,3,79,43,215,6.6,1765,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011075,Hillarys,11721,11918,197,1.7,38,-75,234,6.3,1902.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011076,Iluka - Burns Beach,10595,10918,323,3,32,6,285,5.8,1871.5,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011077,Joondalup - Edgewater,14904,15348,444,3,7,-97,534,15.6,982.4,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011078,Kingsley,13722,13812,90,0.7,-46,-21,157,7.9,1758.6,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011079,Mullaloo - Kallaroo,12407,12730,323,2.6,49,-8,282,5.9,2162,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011080,Ocean Reef,8670,8789,119,1.4,6,-104,217,5.3,1669.5,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011081,Padbury,9230,9519,289,3.1,87,74,128,6,1577.4,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011082,Sorrento - Marmion,10736,10992,256,2.4,27,63,166,4.6,2391.9,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50501,Joondalup,505011083,Woodvale,10072,10240,168,1.7,49,-20,139,7.2,1423,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021084,Balcatta - Hamersley,17227,17649,422,2.4,91,-47,378,10.4,1703.5,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021085,Balga - Mirrabooka,22750,23317,567,2.5,248,-417,736,9.4,2467.7,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021087,Herdsman,0,0,0,0,0,0,0,3.1,0,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021088,Innaloo - Doubleview,19970,20389,419,2.1,111,-125,433,5.6,3635.6,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021089,Karrinyup - Gwelup - Carine,24143,24375,232,1,-90,-37,359,14.1,1730.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021090,Nollamara - Westminster,21852,22419,567,2.6,220,-474,821,6,3712.3,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021091,Osborne Park Industrial,281,278,-3,-1.1,-3,-12,12,3.4,80.7,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021092,Scarborough,19275,20052,777,4,133,-2,646,5,4033.5,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021093,Stirling - Osborne Park,15732,16008,276,1.8,77,-264,463,6.5,2463.8,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021094,Trigg - North Beach - Watermans Bay,8531,8734,203,2.4,33,12,158,5.8,1517.3,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021095,Tuart Hill - Joondanna,13859,14303,444,3.2,130,-131,445,3.6,3939.2,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021096,Wembley Downs - Churchlands - Woodlands,16119,16459,340,2.1,20,-59,379,8,2051.9,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021097,Yokine - Coolbinia - Menora,18274,18580,306,1.7,-98,-32,436,6.9,2712.3,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021301,Dianella - North,12540,12684,144,1.1,-34,-51,229,6.5,1961,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50502,Stirling,505021302,Dianella - South,14095,14562,467,3.3,38,7,422,5,2896.9,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031098,Alexander Heights - Koondoola,12165,12268,103,0.8,91,-250,262,6.7,1830.7,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031099,Butler - Merriwa - Ridgewood,25276,25639,363,1.4,96,-180,447,10,2555.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031100,Carramar,20738,21455,717,3.5,233,151,333,30,715,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031101,Clarkson,15081,15492,411,2.7,144,-79,346,10.8,1439.3,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031102,Girrawheen,9817,10057,240,2.4,41,-42,241,4.1,2456.7,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031104,Marangaroo,10783,10874,91,0.8,25,-101,167,4.8,2268.6,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031105,Mindarie - Quinns Rocks - Jindalee,22922,23802,880,3.8,130,234,516,12.7,1877.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031106,Neerabup National Park,4,4,0,0,0,0,0,17.4,0.2,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031107,Tapping - Ashby - Sinagra,14502,14873,371,2.6,120,-34,285,47.8,311.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031255,Alkimos - Eglinton,17719,19856,2137,12.1,275,1456,406,32.7,607.9,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031256,Carabooda - Pinjar,764,773,9,1.2,7,-2,4,371.1,2.1,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031257,Two Rocks,4440,4737,297,6.7,26,215,56,55.1,86,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031258,Yanchep,12618,13455,837,6.6,88,439,310,19,706.3,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031303,Hocking - Pearsall,14263,14610,347,2.4,122,37,188,26.2,558.4,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031304,Landsdale,16974,17501,527,3.1,177,139,211,7.2,2420,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031305,Madeley - Darch,15064,15253,189,1.3,43,-130,276,13.1,1162.6,,,,,,,,,,,,
